"substudy_num","alpha","beta","alpha_variance","beta_variance"
97,1e-15,0.124949494949495,NA,0.00258732969771931
98,0.00121212121212217,0.0126666666666667,NA,6.11927460589003e-06
99,0.0409090909090916,0.142848484848485,0.000204523606822835,0.00111317349788063
101,1e-15,0.0239393939393939,NA,5.37826869658303e-06
102,0.00560606060606123,3.06060606060606e-06,1.00991934413601e-06,2.41430481789612e-12
103,0.010303030303031,2.71254545454545e-05,7.32042128145975e-06,4.84567091557064e-11
109,0.00509090909090909,-0.000275267595959596,2.06740648696652e-06,1.11279284033878e-06
110,1e-15,0.0113939393939394,NA,1.16219008264463e-05
111,0.0309090909090909,-0.00658532444444444,1.43480257116621e-05,1.36359043388763e-05
112,1e-15,0.0464484848484849,NA,0.000258323947524076
113,0.0212121212121219,0.00520234854545454,1.21011045673115e-05,1.77913391206102e-05
114,1e-15,0.033110101010101,NA,4.96166465686741e-05
115,0.0567878787878788,-0.000202646808080808,7.44266335307947e-05,2.46710849043498e-09
116,1e-15,0.00263138181818182,NA,1.1723932695638e-07
117,1e-15,0.000271313131313131,NA,2.12984818653385e-09
118,1e-15,0.000405555555555556,NA,3.12663326732591e-09
119,0.207070707070708,0.000727090909090909,0.00103747467140876,1.55439365828976e-08
121,0.126262626262627,0.000640909090909091,0.000568121130063435,3.92075787980903e-09
139,1e-15,0.019761027030303,NA,1.40201739422779e-05
140,0.00969696969697037,0.010417412,8.62913333096154e-06,6.43330637229543e-06
141,0.0153030303030303,-0.00051231094949495,2.45450903636256e-06,7.34284817092515e-07
142,0.00939393939394008,0.0229726618888889,1.0541406645302e-05,4.07020433731131e-05
143,0.0121212121212129,0.00256762585858586,3.25352056953776e-06,1.36269781063467e-06
144,0.0123232323232327,0.00212121212121212,1.65995947425386e-06,4.14989868563506e-07
163,0.04,-0.000920034,3.92075787980903e-05,4.55716082997508e-06
164,0.0500909090909091,-0.00275176545454545,2.37432701790198e-05,3.77555952750819e-07
165,1e-15,0.0084427036060606,NA,3.99431309262787e-06
166,1e-15,0.00291414141414141,NA,5.15370672297079e-07
167,0.024242424242425,0.00536011480808081,9.58792592329105e-05,4.43093387492738e-06
168,0.040404040404041,0.00100392568686869,9.08993808101485e-05,4.54116510393567e-07
170,0.00146464646464717,0.000247861616161616,3.73490881707006e-08,3.50908476438572e-09
171,0.00131313131313205,0.000596989898989899,7.32042128145732e-08,1.34743711393592e-08
172,0.0142424242424248,0.00186281175757576,1.0045410754395e-05,7.03410251333313e-07
173,0.0126262626262634,0.00104565481818182,1.12213260459567e-05,8.27040065575982e-07
174,0.0345454545454545,-0.00262258133333333,1.21011045673118e-05,1.64146266430958e-06
175,1e-15,0.0184126467878788,NA,5.70685571134361e-05
185,0.00191919191919254,0.0035050505050505,1.59522105475748e-07,4.37793727837018e-06
186,1e-15,0.402285856565657,NA,0.775529836927762
187,1e-15,0.0232323232323232,NA,9.58792592329124e-05
188,0.00681818181818255,0.00977777777777778,1.83010532036491e-06,0.000171013174936335
189,1e-15,0.00490909090909091,NA,9.04086967895608e-07
190,0.00343434343434426,0.0909081212121212,4.24949625408988e-06,0.0134456807052402
