substudy_num,beta_min,beta_max,alpha_min,alpha_max,sigma_min,sigma_max
91,-1.00E-04,7.00E-05,5.00E-03,0.01,,
92,-0.00380681,0.03,3.00E-02,0.15,,
93,-0.00082178,0.00231822,3.00E-03,0.02,,
94,-1.55E-04,0.002,1.00E-15,0.01,,
95,-1.73E-04,0.002588747,1.00E-15,0.01,,
96,-0.000310416,0.005,1.00E-15,0.015,,
97,0.03,0.5,1.00E-15,0.15,,
98,0.002,0.05,1.00E-15,0.03,,
99,0.002,0.5,1.00E-15,0.15,,
100,2.54E-06,4,1.00E-15,0.2,,
101,0.01,0.04,1.00E-15,1.00E-02,,
102,-1.00E-06,2.00E-04,1.00E-15,0.015,,
103,-1.62E-07,3.00E-04,1.00E-15,0.03,,
109,-0.002405506,0.01,1.00E-03,0.01,,
110,0.001,0.05,1.00E-15,0.03,,
111,-0.01513892,0.05,1.50E-02,0.05,,
112,1.01E-02,0.25,1.00E-15,0.075,,
113,-0.009127529,0.1,1.00E-15,0.075,,
114,1.01E-02,0.124,1.00E-15,0.05,,
115,-3.00E-04,0.000441382,3.80E-02,0.1,,
116,0.00109178,0.005,1.00E-15,1.00E-01,,
117,1.00E-05,0.002,1.00E-15,0.05,,
118,2.50E-04,6.00E-04,1.00E-15,0.1,,
119,-1.34E-04,2.17E-03,1.00E-15,0.5,,
120,9.33E-06,6.00E-04,1.00E-15,0.1,,
121,1.50E-04,1.50E-03,1.00E-15,0.25,,
122,1.07E-06,0.004265275,1.00E-15,2,,
139,0.003126118,0.1,1.00E-15,0.025,,
140,0.003126118,0.025,1.00E-15,0.03,,
141,-0.003526856,0.005,9.00E-03,0.025,,
142,0.000964851,0.1,1.00E-15,0.03,,
143,-0.001572563,0.02,1.00E-15,0.05,,
144,0,0.01,1.00E-15,0.02,,
163,-0.005206197,0.015,1.00E-02,0.1,,
164,-0.004026942,0.01,3.90E-02,0.1,,
165,1.00E-03,0.039780403,1.00E-15,0.1,,
166,1.00E-04,0.02,1.00E-15,0.1,,
167,0.000252034,0.039152034,1.00E-15,0.1,,
168,-0.000882943,0.008457057,1.00E-15,0.1,,
170,-8.99E-05,0.002,1.00E-15,0.005,,
171,1.23E-04,0.002,1.00E-15,0.005,,
172,-0.000898845,0.012120394,1.00E-15,0.03,,
173,-0.000898845,0.009795904,1.00E-15,0.05,,
174,-0.006075404,0.025,2.00E-02,0.05,,
175,0.001138313,0.05,1.00E-15,0.05,,
185,-0.003,0.025,1.00E-15,0.005,,
186,0.01,3.89362998,1.00E-15,0.025,,
187,0.005,0.1,1.00E-15,0.005,,
188,-0.0015,0.1,1.00E-15,0.025,,
189,0.001,0.01,1.00E-15,0.0015,,
190,-1.00E-06,3,1.00E-15,0.02,,
191,-0.008,0.01,9.00E-03,0.02,,
192,-0.5,20,1.00E-15,0.075,,
193,-2.52E-04,1.00E-03,1.00E-15,0.025,,
194,2.64E-05,0.002944387,1.00E-15,0.02,,
197,0.000169934,0.019399339,1.00E-15,0.02,,
198,5.31E-04,0.043306307,1.00E-15,0.07,,
209,0.005,0.015,1.00E-15,0.0001,,
210,0.002365192,0.813651915,1.00E-15,0.5,,
211,0.000237535,1.013753507,1.00E-15,0.5,,
212,0.01,0.75,1.00E-15,0.1,,
214,-0.000001,0.2,1.00E-15,0.5,,
215,0.03,0.3,1.00E-15,0.25,,
220,-0.00269934,0.3,1.00E-15,0.75,,
221,-0.05169934,0.5,1.00E-15,1,,
222,0.000904565,0.189045645,1.00E-15,0.1,,
223,0.000962143,0.05,1.00E-15,0.1,,
224,-0.038,0.1,2.00E-01,0.4,,
225,-1.70E-05,0.001,1.00E-15,0.025,,
226,2.00E-04,5.00E-04,1.00E-15,0.015,,
244,-1.40E-04,0.04,1.00E-15,0.02,,
245,-4.00E-04,0.004,1.00E-15,0.1,,
246,-4.00E-04,0.004,1.00E-15,0.1,,
248,0.03,0.1,1.00E-15,0.001,,
249,0.001491124,0.1,1.00E-15,0.25,,
250,-1.00E-04,0.0001,1.00E-15,0.02,,
251,-0.08,1.50E-01,1.00E-15,0.24,,
252,0.001,1,1.00E-15,0.25,,
255,0.0015,0.005,1.00E-15,0.01,,
256,-4.00E-04,1.00E-03,4.00E-01,0.9,,
257,-0.000710199,0.02,1.00E-15,0.5,,
258,-0.00151,1.00E-03,3.60E-02,0.1,,
259,-0.004,0.1,1.00E-15,1,,
260,-1.66E-05,0.05,1.00E-15,0.2,,
261,-7.24E-03,0.02,1.00E-15,0.2,,
265,1.12E-06,0.00062195,1.00E-15,0.01,,
266,-0.000959501,0.0012009,5.00E-02,0.07,,
267,1.32E-06,1.64E-04,1.00E-15,0.005,,
268,-0.00016,-5.00E-05,9.00E-03,0.018,,
276,0.01,0.05,1.00E-15,0.05,,
277,0.001,0.2,1.00E-15,0.03,,
278,0.015,0.8,1.00E-15,1.25,,
279,-0.004,0.02,2.80E-02,0.07,,
280,-0.002681992,0.01,1.00E-15,0.15,,
281,3.87E-05,0.037870447,1.00E-15,0.075,,
282,-9.00E-02,0.1,1.50E+00,3,,
