"substudy_num","alpha_hat","beta_hat","alpha_se","beta_se","alpha_ci_lower","alpha_ci_upper","alpha_variance","beta_ci_lower","beta_ci_upper","beta_variance"
15,0.000101010101011,2.24545454545455e-06,9.65376462571278e-05,6.92281550592568e-07,NA,0.000343434343435,NA,1.48484848484849e-07,5.39090909090909e-06,1.78851337577815e-12
17,0.00227272727272736,-2.02020202020314e-05,0.000290284182613008,2.90645338362306e-05,0.00174242424242455,NA,NA,-0.00104040404040405,0.001,2.70931945549847e-07
18,0.0062020202020202,-5.65656565656566e-05,0.000747891659076177,0.000139262116367138,0.00475757575757576,0.00804040404040404,7.01332877872324e-07,-0.000262626262626263,0.000424242424242424,3.07026104358024e-08
19,0.00103030303030369,1.47878787878788e-05,0.000209872425892491,2.10240954949034e-05,0.000636363636364424,0.00148484848484899,4.68506962013143e-08,-2.17777777777778e-05,6.5979797979798e-05,5.01183888408908e-10
20,0.00456565656565657,-0.000188313131313131,0.000303335858503205,3.05384689773393e-05,0.00401010101010101,0.00532323232323232,1.12213260459572e-07,-0.000235707070707071,-0.000101424242424242,1.17346144650898e-09
27,0.000560606060606687,4.64343434343434e-06,0.000115632059623165,3.31773677011078e-07,0.000333333333334111,0.000818181818182273,1.52981865147047e-08,1.36464646464646e-06,8.46868686868687e-06,3.2842689284568e-12
28,0.000424242424243141,1.73836363636364e-05,0.000164138613496535,2.60598200852038e-06,0.00012121212121304,0.000787878787879262,2.89231338793635e-08,1.23577777777778e-05,2.42044444444444e-05,9.13314186218705e-12
30,1e-15,0.00606060606060606,0.000526596820146243,0.000283513548043146,NA,0.000530303030303818,NA,0.00545454545454545,0.00666666666666667,9.56136657170316e-08
49,1e-15,0.0190909090909091,1.15803134647776e-05,0.000642071148831164,NA,2.52525252620202e-06,NA,0.0178787878787879,0.0206060606060606,4.84044182692473e-07
52,0.00606060606060686,0.00515317171717172,0.0018064945523106,0.000965750468094813,0.00242424242424334,0.0100000000000007,3.7349088170713e-06,0.00333511111111111,0.00757725252525253,1.17111124125193e-06
53,0.00757575757575827,0.002627,0.00148185318583639,0.000682204309525668,0.00479797979798061,0.0108585858585864,2.3903416429256e-06,0.001415,0.004344,5.58298690649729e-07
55,1e-15,0.0109698593232323,0.00025465698088962,0.00109915527256384,NA,0.000333333333334,NA,0.00888436445454545,0.0138374147676768,1.5965162565344e-06
57,0.0024242424242433,0.023,0.00463959719455724,0.00424259292428628,NA,0.0125252525252529,NA,0.015,0.034,2.34928154935444e-05
58,0.0106060606060613,6.70475757575755e-05,0.00171082291820397,0.000744184764638458,0.00727272727272803,0.0145454545454551,3.44209196581291e-06,-0.00122310921212121,0.00188844539393939,6.30061176755582e-07
59,0.0142424242424248,0.00234634001010101,0.0025178563481956,0.00131981867772174,0.00939393939394008,0.01969696969697,6.90808734805509e-06,9.29485050505051e-05,0.00563975836363636,2.00223211730173e-06
60,0.00161616161616245,0.0075803903030303,0.00240284185719606,0.0014165627313443,NA,0.00696969696969727,NA,0.00505541353535354,0.0111153577777778,2.38981962081494e-06
61,1e-15,0.00889939393939394,0.00138980060239269,0.00136771910989696,NA,0.00151515151515201,NA,0.00645292929292929,0.0128137373737374,2.63300964707891e-06
62,0.00222727272727273,-0.000117434848484848,0.000254806371828836,0.000223304283983324,0.00172727272727273,0.00277272727272727,7.11276035123106e-08,-0.000534707070707071,0.00037570505050505,5.39391289078739e-08
63,1e-15,0.0129159794444444,0.000987615669314369,0.00200692494605264,NA,0.0018686868686875,NA,0.00906309419191919,0.0182136966666667,5.44913093833654e-06
64,1e-15,0.00189621818181818,0.00196689286279138,0.000635647327124536,NA,0.00474747474747527,NA,0.000841890909090909,0.00385425454545455,5.90530942685727e-07
65,0.00565656565656637,0.00160579924242424,0.00343259888738285,0.000248235202431011,NA,0.0131313131313135,NA,0.00115323914141414,0.00223938338383838,7.67720035500398e-08
68,0.00909090909090964,0.0145959595959596,0.00188951879908295,0.000985887202273844,0.00525252525252599,0.0129292929292933,3.83517036931611e-06,0.0125757575757576,0.0168686868686869,1.19932072014853e-06
69,1e-15,0.717171717171717,0.000731401221027251,0.104373710103649,NA,0.0021212121212127,NA,0.527777777777778,0.96969696969697,0.0127090647247574
70,0.00373737373737436,0.321212121212121,0.000868199320335879,0.0316156481847622,0.00202020202020282,0.005555555555556,8.13380142384309e-07,0.263636363636364,0.393939393939394,0.00110493542444245
71,0.00686868686868753,0.180808080808081,0.00074884029591434,0.0136203772313572,0.00525252525252599,0.00848484848484906,6.79919400654379e-07,0.154545454545455,0.213131313131313,0.000223364146855621
72,0.00767676767676829,0.000169494949494949,0.00261327969579447,0.000141196335094411,0.00303030303030388,0.0137373737373741,7.46052186108654e-06,-5.37373737373737e-05,0.000548989898989899,2.36412019268831e-08
73,1e-15,0.00096969696969697,0.000871545038050676,0.000256038940336288,NA,0.00545454545454618,NA,0.000557575757575758,0.00162222222222222,7.37630215720153e-08
74,0.0216161616161616,-0.00451484529292929,0.00177320334519421,0.00452584695786038,0.0180808080808081,0.0255050505050505,3.58700642791552e-06,-0.0131224524444444,0.00624466364646465,2.44094378435255e-05
75,0.827272727272727,0.111943434343434,0.0231754829450465,0.0380383518272396,0.778787878787879,0.875757575757576,0.000611927460589003,0.0384838383838384,0.191279797979798,0.00151932822709614
76,0.0160909090909091,0.00171616161616162,0.000983525242447485,0.00168872035257561,0.0141212121212121,0.0181919191919192,1.07836943301649e-06,-0.00151313131313131,0.00536666666666667,3.08020227527803e-06
77,1e-15,0.0312121212121212,0.000162963242327981,0.000918634925772248,NA,3.87878787879091e-05,NA,0.0293939393939394,0.0331818181818182,9.3372720426789e-07
80,1e-15,0.00010044603030303,0.000460028355737035,2.23086962315942e-05,NA,0.00414141414141431,NA,6.1006303030303e-05,0.000157414525252525,6.0486160141929e-10
87,0.00298989898989962,3.96969696969697e-05,0.000395253560743478,4.14257092381865e-06,0.00218181818181891,0.00387878787878839,1.87402784805335e-07,3.16161616161616e-05,4.92929292929293e-05,2.03345035596118e-11
90,1e-15,0.00358573866666667,0.00101527973720089,0.000673335015085576,NA,0.00868686868686925,NA,0.002419072,0.00529684977777778,5.38942428823381e-07
