study_num,Authors,Article.Title,Source.Title,Publication.Year
57,"White, JW; Caselle, JE",Scale-dependent changes in the importance of larval supply and habitat to abundance of a reef fish,ECOLOGY,2008
58,"Geange, Shane W.; Stier, Adrian C.",Order of arrival affects competition in two reef fishes,ECOLOGY,2009
60,"Geange, Shane Wallace; Stier, Adrian C.",Priority effects and habitat complexity affect the strength of competition,OECOLOGIA,2010
61,"Stier, AC; Geange, SW; Bolker, BM",Predator density and competition modify the benefits of group formation in a shoaling reef fish,OIKOS,2013
62,"Bostrom-Einarsson, L; Bonin, MC; Munday, PL; Jones, GP",Strong intraspecific competition and habitat selectivity influence abundance of a coral-dwelling damselfish,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2013
63,"Ford, JR; Swearer, SE","Two's company, three's a crowd: Food and shelter limitation outweigh the benefits of group living in a shoaling fish",ECOLOGY,2013
67,"Ford, JR; Shima, JS; Swearer, SE","Interactive effects of shelter and conspecific density shape mortality, growth, and condition in juvenile reef fish",ECOLOGY,2016
68,"White, JW; Warner, RR",Safety in numbers and the spatial scaling of density-dependent mortality in a coral reef fish,ECOLOGY,2007
69,Stier and Geange (unpub),,,2007
70,"Schmitt, RJ; Holbrook, SJ",Local-scale patterns of larval settlement in a planktivorous damselfish - Do they predict recruitment?,MARINE AND FRESHWATER RESEARCH,1996
71,"Shima, JS",Mechanisms of density- and number-dependent population regulation of a coral-reef fish,MARINE AND FRESHWATER RESEARCH,2002
72,"Nitschke, P; Mather, M; Juanes, F","Evidence for density-dependent mortality in recruitment of a temperate reef fish, cunner Tautogolabrus adspersus, among similar reefs in the vicinity of an anthropogenic disturbance",MARINE ECOLOGY PROGRESS SERIES,2002
73,"Lecchini, D; Nakamura, Y; Grignon, J; Tsuchiya, M","Evidence of density-independent mortality in a settling coral reef damselfish, Chromis viridis",ICHTHYOLOGICAL RESEARCH,2006
74,"Bonin, MC; Srinivasan, M; Almany, GR; Jones, GP",Interactive effects of interspecific competition and microhabitat on early post-settlement survival in a coral reef fish,CORAL REEFS,2009
76,"Bostrom-Einarsson, L; Bonin, MC; Munday, PL; Jones, GP",Habitat degradation modifies the strength of interspecific competition in coral dwelling damselfishes,ECOLOGY,2014
80,"Johnson, DW",Combined effects of condition and density on post-settlement survival and growth of a marine fish,OECOLOGIA,2008
81,"Wilson, JA","Age class interactions in a marine goby, Elacatinus prochilos (Bohlke and Robins, 1968)",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2005
82,"Johnson, DW","Predation, habitat complexity, and variation in density-dependent mortality of temperate reef fishes",ECOLOGY,2006
55,"Schmitt, RJ; Holbrook, SJ",The scale and cause of spatial heterogeneity in strength of temporal density dependence,ECOLOGY,2007
41,"Wilson, J; Osenberg, CW",Experimental and observational patterns of density-dependent settlement and survival in the marine fish Gobiosoma,OECOLOGIA,2002
43,"Shima, JS; Osenberg, CW",Cryptic density dependence: Effects of covariation between density and site quality in reef fish,ECOLOGY,2003
