"substudy_num","alpha_old","beta_old","alpha_var_old","beta_var_old","alpha","beta","alpha_variance","beta_variance","alpha_diff","beta_diff","alpha_var_diff","beta_var_diff","alpha_pct_change","beta_pct_change","alpha_var_pct_change","beta_var_pct_change"
77,1e-15,0.0312121212121212,NA,9.3372720426789e-07,1e-15,0.0312121212121212,3.9163357475738e-10,1.00991934413615e-06,0,0,NA,7.61921398682601e-08,0,0,NA,8.15999999126086
80,1e-15,0.00010044603030303,NA,6.0486160141929e-10,1e-15,0.00010044603030303,4.46462700195183e-06,8.44806699502976e-10,0,0,NA,2.39945098083686e-10,0,0,NA,39.6693559034172
87,0.00298989898989962,3.96969696969697e-05,1.87402784805335e-07,2.03345035596118e-11,0.00298989898989962,3.96969696969697e-05,2.05675618697919e-07,2.39698148082281e-11,0,0,1.8272833892584e-08,3.6353112486163e-12,0,0,9.7505668413942,17.8766718904191
90,1e-15,0.00358573866666667,NA,5.38942428823381e-07,1e-15,0.00358573866666667,1.96432964345305e-05,7.62156714537667e-07,0,0,NA,2.23214285714286e-07,0,0,NA,41.4170926915953
91,0.00575757575757576,-8.28282828282828e-05,2.27248452025376e-07,7.6756526089506e-11,0.00575757575757576,-8.28282828282828e-05,5.97585410731449e-07,1.96496706789135e-10,0,0,3.70336958706073e-07,1.19740180699629e-10,0,0,162.965667653948,155.997967626004
92,0.0615151515151515,-0.000733463636363636,0.000117126740503364,5.53214291167038e-06,0.0615151515151515,-0.000733463636363636,0.000152981865147251,1.21418774467388e-05,0,0,3.5855124643887e-05,6.60973453506842e-06,0,0,30.6122448976979,119.478737975659
93,0.00746464646464646,-0.000346022424242424,3.07026104358024e-06,3.16856145330392e-08,0.00746464646464646,-0.000346022424242424,5.59555075192499e-06,7.56788644632094e-08,0,0,2.52528970834475e-06,4.39932499301702e-08,0,0,82.2499999732108,138.842970824719
94,0.00252525252525327,0.000193282828282828,1.86513046527145e-06,4.22138996966859e-08,0.00252525252525327,0.000193282828282828,2.89231338793963e-06,7.70889329742255e-08,0,0,1.02718292266818e-06,3.48750332775396e-08,0,0,55.0729796785532,82.6150455228544
95,0.002222222222223,7.80679090909091e-05,1.34456717414549e-06,2.23338630156183e-08,0.002222222222223,7.80679090909091e-05,2.08225316450383e-06,3.97046453610991e-08,0,0,7.3768599035834e-07,1.73707823454808e-08,0,0,54.8641974900598,77.777774295273
96,0.0043939393939401,0.000708754747474747,1.72702183701366e-06,1.57474616618549e-07,0.0043939393939401,0.000708754747474747,2.15728333274024e-06,2.70384478474655e-07,0,0,4.3026149572658e-07,1.12909861856106e-07,0,0,24.9134947952625,71.700356262879
